,,,
,,,
lux2,0.03,1588,25
fpsol2i1,0.42,1720,65
q13,0.15,1676,17
miles1500,0.22,1608,73
q12,0.12,1572,15
myciel7,0.09,1616,8
q10,0.07,1576,12
q15,0.24,1628,19
R1789_875431_10,23.04,9536,587
R22_99_15,0.00,1540,7
fpsol2i3,0.36,1696,30
Gf12345_12111222_457_15,499.94,138556,522
lux1,0.56,1748,131
inithxi2,0.61,1804,31
fpsol2i2,0.34,1668,30
KD,5.00,2760,500
q11,0.09,1584,14
R1999999_10123123_1,1123.63,238236,7
KC,0.22,1596,100
lux3,0.03,1624,22
myciel5,0.01,1532,6
bxb15_22_10,0.13,1648,4
bxb777_999_12,910.40,214880,4
R22_99_15.txt,0.00,1544,7
q7,0.02,1508,9
q8_12,0.06,1552,13
zeroini1,0.15,1680,49
myciel4,0.00,1504,5
KM,14.23,5908,1000
lux4,69.85,17920,1500
inithxi1,0.73,1740,54
huck,0.02,1532,11
anna,0.03,1592,11
david,0.04,1560,11
miles1000,0.17,1600,42
